Porosity,Permeability_1,Permeability_2,Permeability_3,Error
1.466337e-01,1.946203e-13,3.101998e-13,6.558848e-13,6.809003e-05
1.510784e-01,3.440518e-13,1.624003e-13,6.402382e-13,1.665811e-04
2.442603e-01,8.516055e-13,2.881777e-13,5.235114e-13,6.596324e-04
1.148757e-01,4.301491e-13,9.398496e-13,7.323278e-13,2.307321e-04
2.678330e-01,1.966244e-13,3.863690e-13,2.394266e-13,8.777097e-05
2.823590e-01,6.788443e-13,9.401087e-13,7.308608e-13,5.387234e-04
2.619087e-01,5.126521e-13,3.324676e-13,5.886547e-13,3.700137e-04
2.032921e-01,5.207297e-13,9.767885e-13,1.622491e-13,3.315383e-04
2.772329e-01,6.687746e-13,4.085746e-13,3.367103e-13,5.268474e-04
1.355112e-01,5.890599e-13,9.365661e-13,2.377011e-13,3.349128e-04
1.070919e-01,5.840134e-13,9.051852e-13,7.836345e-14,3.381695e-04
2.292384e-01,3.079969e-13,2.087725e-13,8.532274e-13,1.735460e-04
2.192316e-01,4.648362e-13,1.521208e-13,4.035376e-14,3.061884e-04
2.344412e-01,6.766216e-13,3.041055e-13,2.838483e-13,4.897132e-04
1.245363e-01,8.325887e-13,4.829678e-13,3.410802e-13,5.110407e-04
2.565747e-01,9.819414e-13,1.910548e-13,9.025743e-13,7.885480e-04
2.783942e-01,6.428173e-13,4.081435e-13,4.945726e-13,5.041091e-04
1.438684e-01,9.570588e-13,1.525373e-13,5.612050e-13,5.896397e-04
2.529052e-01,6.536772e-13,9.374374e-13,5.575670e-14,4.946684e-04
2.987697e-01,8.896467e-13,7.585486e-13,2.431863e-14,7.368418e-04
2.261402e-01,6.199850e-13,9.063954e-13,6.361089e-13,4.386562e-04
1.651603e-01,5.501401e-13,3.900382e-13,6.372000e-13,3.244393e-04
2.396175e-01,8.423009e-13,1.264751e-13,2.109752e-13,6.381131e-04
2.962088e-01,2.193254e-13,1.293912e-13,1.809611e-13,1.144799e-04
2.909594e-01,2.872798e-13,9.598167e-13,6.452714e-13,1.769403e-04
2.158125e-01,8.080298e-13,8.504209e-13,9.814325e-13,5.937757e-04
1.909533e-01,7.196115e-13,4.025869e-13,4.567247e-13,4.882730e-04
2.947058e-01,7.755669e-13,6.762960e-13,2.393647e-13,6.294752e-04
1.368136e-01,7.177020e-13,5.209229e-14,7.700794e-13,4.238464e-04
1.279906e-01,1.577262e-13,8.883914e-13,4.289937e-13,5.446068e-05
2.932886e-01,7.240272e-13,3.841896e-13,4.946861e-13,5.814284e-04
2.505203e-01,4.972809e-13,6.678260e-13,3.702467e-13,3.546655e-04
2.709044e-01,3.836937e-13,5.950561e-13,5.687855e-13,2.581432e-04
2.648084e-01,3.280314e-13,3.270592e-13,3.290751e-13,2.051454e-04
1.232579e-01,9.443565e-13,8.372992e-13,1.983883e-13,5.887863e-04
2.936855e-01,2.317292e-13,8.221368e-13,6.094357e-13,1.257390e-04
2.541209e-01,5.432516e-13,7.243284e-13,1.977997e-13,3.961487e-04
1.673098e-01,1.577142e-13,3.051155e-13,6.923368e-13,4.244251e-05
2.165319e-01,5.163706e-14,6.244619e-13,1.027926e-13,4.588381e-05
2.152067e-01,4.165719e-13,8.883943e-13,2.330006e-13,2.622747e-04
2.664659e-01,3.785106e-14,6.558842e-13,4.543057e-13,5.523883e-05
1.158192e-01,7.563022e-13,9.930272e-13,4.156382e-13,4.497618e-04
1.720014e-01,9.871030e-13,5.136819e-13,1.992529e-13,6.521229e-04
2.304177e-01,9.685976e-13,5.320456e-13,6.412895e-13,7.367172e-04
1.311238e-01,4.109232e-13,2.766200e-13,8.195893e-13,2.137243e-04
1.253211e-01,5.081471e-13,4.298034e-13,8.299603e-13,2.836153e-04
1.706017e-01,4.387225e-13,6.762653e-13,6.534155e-13,2.433050e-04
1.107803e-01,3.064858e-14,2.367279e-13,2.401698e-13,7.443757e-05
2.561911e-01,2.347447e-13,4.506785e-13,2.163540e-13,1.205835e-04
1.128266e-01,4.348385e-13,9.992325e-14,7.229194e-13,2.347079e-04
1.092665e-01,9.646299e-13,9.038442e-13,5.393910e-13,5.943310e-04
1.197286e-01,4.675955e-13,2.794197e-13,8.665053e-13,2.531595e-04
2.249572e-01,9.931937e-13,8.687716e-13,8.275768e-13,7.559179e-04
2.753580e-01,8.967939e-13,4.931997e-13,2.965771e-13,7.330009e-04
1.657470e-01,2.542500e-13,6.018478e-13,5.459087e-13,1.074847e-04
2.422014e-01,8.880980e-13,6.032561e-13,6.241065e-14,6.845437e-04
2.794195e-01,2.251588e-13,4.067791e-13,6.596978e-13,1.190677e-04
1.755326e-01,7.795648e-13,5.146273e-13,8.712790e-13,5.008721e-04
1.761923e-01,6.236021e-13,6.325415e-13,6.453366e-13,3.845374e-04
2.925376e-01,7.085531e-13,7.643540e-13,7.515769e-13,5.669659e-04
2.599193e-01,5.191141e-13,8.568145e-13,2.127996e-13,3.753323e-04
2.802596e-01,6.883886e-13,5.798110e-13,9.107811e-13,5.472102e-04
2.870768e-01,2.216230e-13,6.258573e-13,7.587570e-13,1.161038e-04
1.389265e-01,2.846837e-13,4.281672e-13,8.635111e-13,1.264334e-04
2.948197e-01,7.357041e-13,9.261873e-13,7.933193e-13,5.925781e-04
2.351264e-01,2.920060e-13,2.665584e-13,4.027398e-13,1.610265e-04
1.101920e-01,3.166668e-13,2.426233e-14,4.648366e-13,1.588883e-04
1.432950e-01,3.245617e-13,7.427440e-13,7.025950e-13,1.522550e-04
2.509067e-01,8.948746e-13,9.191780e-13,6.953200e-13,7.097032e-04
2.525891e-01,2.283514e-13,7.325903e-13,4.064763e-13,1.147200e-04
1.880599e-01,2.675291e-13,9.790710e-13,9.577991e-13,1.274672e-04
2.906860e-01,9.407863e-13,8.258340e-13,8.046310e-13,7.815803e-04
1.759670e-01,2.356274e-13,9.157828e-13,6.019665e-14,9.513906e-05
2.505729e-01,7.798420e-13,2.236203e-13,2.537834e-13,6.069162e-04
2.235598e-01,5.821576e-13,2.174425e-13,2.849812e-13,4.061594e-04
1.110761e-01,5.679162e-13,8.809505e-13,7.982495e-13,3.244320e-04
2.049626e-01,1.181659e-13,4.169385e-13,6.274922e-13,1.651945e-05
2.789283e-01,7.784182e-13,6.287806e-14,3.852517e-13,6.296891e-04
1.333364e-01,6.378250e-13,3.801386e-13,7.423005e-13,3.694907e-04
2.069542e-01,3.254000e-13,8.274049e-13,4.072062e-13,1.759783e-04
1.598446e-01,3.138719e-13,5.642497e-13,7.515615e-13,1.506125e-04
1.870721e-01,8.330321e-13,2.918282e-13,6.928248e-13,5.784173e-04
1.641541e-01,1.556672e-13,1.338471e-13,5.658080e-13,4.161757e-05
2.931436e-01,6.422885e-13,6.568116e-13,9.888705e-13,5.057228e-04
2.641655e-01,1.516170e-13,9.696234e-14,1.599527e-13,4.677651e-05
1.892207e-01,3.580631e-13,9.798575e-13,6.039665e-13,1.994558e-04
2.196865e-01,6.404644e-13,3.315728e-13,6.968936e-13,4.554647e-04
1.641664e-01,6.687450e-13,8.068918e-13,4.190838e-14,4.119603e-04
1.219047e-01,8.275509e-13,4.638688e-13,4.351648e-13,5.032828e-04
1.258336e-01,4.930925e-13,2.152591e-13,1.476854e-13,2.728878e-04
